,Summary Text,Polarity
57,"Netflix has released the first three episodes of the much-anticipated docuseries “Harry &amp; Meghan,” offering an intimate look at the lives of the Duke and Duchess of Sussex.

Watch here for more: https://t.co/RxufGm3Q8r",0.31666666666666665
58,"""Even with Trump still a top contender for a major party’s presidential nomination, there are plenty of other forces circulating with the potential to destabilize American democracy,"" writes Zachary B. Wolf | Analysis
https://t.co/6zsUIzP3Ow",0.0875
59,"Jurors saw a “culture of fraud,” at the Trump Organization, but referred to Trump as a nondescript “Bob Smith” at times when talking about the company owner’s awareness of the crimes
https://t.co/5kAyQxfOQY",0.0
60,"Gender affirming care and its providers are under threat, putting lifesaving care at risk.

This week on #TheAssignment, @AudieCornish talks with two pediatricians to discuss what the future of their work means for trans kids. https://t.co/Ogggi0XLWW https://t.co/bVk3pZiS0j",0.0
61,"China is Saudi Arabia’s biggest trading partner and a source of growing investment. It’s also the world’s biggest buyer of oil.
https://t.co/NyWS4IWYJx",0.0
62,"Harry and Meghan take aim at media in highly anticipated Netflix documentary
https://t.co/B2tw1haLui",0.08
63,"Nearly 10 months after his invasion of Ukraine began, President Vladimir Putin acknowledged that the conflict is “going to take a while”
https://t.co/zs5MTeJfxx",0.1
64,The highly anticipated Harry &amp; Meghan docuseries has been released on Netflix. https://t.co/zJ9k0pjOZO https://t.co/8eGftzGHgZ,0.16
65,"Dina Boluarte took office as the new President of Peru, after Congress ousted former president Pedro Castillo.
https://t.co/AhtN03YrUl",0.06818181818181818
66,"Donald Trump is facing a flurry of criticism on Capitol Hill, with Republican fury growing over their failure to take back the Senate
https://t.co/EZ3H7ovprn",-0.15833333333333335
67,New retirement rules could make it easier for Americans to accumulate retirement savings — and less costly to withdraw them — if lawmakers pass a retirement reform package before the end of the month https://t.co/ClV4xhQBCy,-0.015151515151515152
68,"When astronaut Alan Shepard went to the moon, NASA didn't know a modified golf club had been tucked into his space suit, with a few balls hidden in a sock.

This is the story of how he managed to play the universe's first attempt at lunar golf. https://t.co/9Vhux95vBc",-0.038888888888888896
69,"There were no active drugs found in actress Anne Heche’s system at the time of her car crash in August, according to a Los Angeles County Medical Examiner-Coroner report released Tuesday https://t.co/dVGONUsHfY",0.03333333333333333
70,"A British photographer spent two years photographing endangered insects, capturing every extraordinary details normally invisible to the human eye. https://t.co/oUwqTEKZeY",0.07666666666666666
71,Controversial new laws were passed in Indonesia that ban cohabitation and sex outside marriage. Here's how it will affect tourists. https://t.co/k8pd6orFsw,0.2287878787878788
