,Summary Text,Polarity
66,"The Duke and Duchess of Sussex's Netflix docuseries has dropped in part today - unveiling dramatic revelations about their time in the UK.

Sky News highlights the key admissions made by Harry and Meghan, along with a few more surprises 👇 https://t.co/SaP8qGTgUU",-0.033333333333333326
67,"Watch live: Former US spy Anne Sacoolas is to be sentenced at the Old Bailey over the death of teenage motorcyclist Harry Dunn.

Latest: https://t.co/nD5fvW2owQ https://t.co/if3ioqBMGc",0.14727272727272728
68,Water regulator names six providers 'falling short' on key obligations including sewage https://t.co/y6sb4JND4d,0.0
69,Celine Dion reveals she is suffering from 'very rare' and incurable stiff-person syndrome https://t.co/TbeWjvxPhC,-0.05499999999999999
70,"US President Joe Biden praises basketball star Brittney Griner as an ""incomparable athlete"" who ""endured mistreatment and a show trial in Russia with characteristic grit and incredible dignity"".

Latest: https://t.co/KZDPWhy7PK

📺 Sky 501, Virgin 602, Freeview 233 and YouTube https://t.co/PofK9Kep9W",0.43333333333333335
71,In pictures: Meghan and Harry Netflix series reveals previously unseen photos of Sussexes https://t.co/uI54zuVDQ2,-0.16666666666666666
72,"Host @skynewsniall is joined by the @HousingOmbuds for England Richard Blakeway on the #Daily podcast over fears there could be more deaths if damp and mould in homes isn’t addressed urgently 🏠

🎧 Listen here 👉 https://t.co/zVzKlxnPBu",0.25
73,"""We never stopped pushing for her release.""

US President Joe Biden confirms that basketball star Brittney Griner is on a plane home after a prisoner swap was agreed with Russia following ""painstaking"" negotiations.

Latest: https://t.co/KZDPWhy7PK

📺 Sky 501 and Virgin 602 https://t.co/wIFdWNwicr",0.25
74,"Ramesh ""Sunny"" Balwani was jailed for almost 13 years for his role in the company's blood-testing hoax, which saw Theranos investors conned and patients put at risk https://t.co/BYtuLgdEio",0.0
75,Frasers boss Murray takes Mike Ashley's business in more aspirational direction https://t.co/dbheuLRXqY,0.5
76,Joe Biden is speaking after US basketball star Brittney Griner has been freed in a prisoner swap https://t.co/ke3qUKE0PL https://t.co/IxqrxmBKTT,0.0
77,Targeted drug offers 'landmark moment' in treatment of advanced breast cancer https://t.co/Jbmokgm7af,0.25
78,Celine Dion reveals she is suffering from 'very rare' and incurable stiff-person syndrome https://t.co/4dG81YgJ5x,-0.05499999999999999
79,"BREAKING NEWS: Basketball star Brittney Griner, who was sentenced to nine years in prison in Russia, has been freed in a prisoner swap, a US official has said.

Latest: https://t.co/wxVlsTUq0S

📺 Sky 501, Virgin 602, Freeview 233 and YouTube https://t.co/Yb4nhb3OYK",0.5
80,Amazon offers 'thanks' to drivers via Alexa - just as it's sued over withheld tips https://t.co/GHBTIRDpj5,0.15000000000000002
81,Brittney Griner freed in prisoner swap with Russian arms dealer https://t.co/YJS29iHTpQ,0.0
82,Airport issues warning after dog accidentally sent through X-ray machine in backpack https://t.co/3gkBuTU38s,0.0
83,"'What we're seeing is really unprecedented levels of hardship.'

Rachelle Earwaker discusses research by @JRF_UK suggesting that over three million households cannot afford to heat their homes during the current cold spell.

Latest: https://t.co/qs0yd6ambU

📺 Sky 501 and YouTube https://t.co/kbDJx7VxaD",0.125
84,"""It's so frightening and the government has to do more to plug the gaps here.""

Sky News hears that there is a ""crisis of an unprecedented level"", with households going without food, toiletries and hot water.

https://t.co/DkVYwZThKZ

📺 Sky 501, Freeview 233 and YouTube https://t.co/65aWX2ddPB",0.2125
85,Prince Harry and Meghan's Netflix series: Key revelations from first episodes https://t.co/yPLuGcHg9x,0.125
86,"Ireland women footballers fined €20,000 for singing song referencing IRA in World Cup celebration https://t.co/8B07NWjH0A",0.0
87,"Meghan reveals details of her first meetings with the Queen, and Kate and William - 'I've always been a hugger' https://t.co/ZoM3vkLAic",0.25
88,"Historian Professor Anna Whitelock tells Sky News that the Harry &amp; Meghan documentary ""will potentially be very damaging"" to the Royal Family.

https://t.co/PAiZ4D1jU3

📺 Sky 501, Virgin 602, Freeview 233 and YouTube https://t.co/qe5JkuAdOX",0.1
89,"King Charles appeared to avoid any questions on Harry and Meghan's Netflix docuseries while on a visit to north London.

Live updates: https://t.co/mwCPctwVFK https://t.co/v1rqN0DekC",0.13636363636363635
90,"BREAKING NEWS: Two bombshell independent reports into alleged corruption at one of the UK's largest trade unions are to be handed to the police after ""potential criminality"" was discovered.

@JoePike reports: https://t.co/JiiySnpYOZ

📺 Sky 501, Virgin 602 and YouTube https://t.co/fhh52GxedU",-0.03333333333333333
91,"BREAKING: 'Potential criminality' at Labour's largest donor, two independent reports find https://t.co/e1f3gHnSi4",0.0
92,"The Duke and Duchess of Sussex reveal in their new Netflix documentary how they had their first date at Soho House in London.

Live updates: https://t.co/vgNWu1JWkO https://t.co/cCXVN8UfFA",0.13068181818181818
93,"BREAKING: Sky News understands that no royals or palace households were approached for comment about the Harry &amp; Meghan documentary.

https://t.co/PAiZ4D1jU3

📺 Sky 501, Virgin 602, Freeview 233 and YouTube https://t.co/P0F4LHwFqt",0.0
94,Dyson's Zone headphones with a personal air purifier get a hefty price tag https://t.co/S0EBx8ycdY,0.0
95,"Sir Keir Starmer says the answer to strikes is to 'resolve the underlying issues', adding that the last Labour government 'didn't have these issues'. 

Politics live: https://t.co/WUnquWe61F https://t.co/LCmpzuMDmL",0.06818181818181818
96,"BREAKING: People who plan to travel over Christmas should 'think carefully', home secretary says https://t.co/8XX87sv0dX",-0.1
97,Elizabeth Holmes's former partner Ramesh Balwani jailed over Theranos scandal https://t.co/UZc3tq9Cnu,0.0
98,"Education Secretary Gillian Keegan has told Sky News that it is 'really disappointing' that people are striking at Christmas, adding that acquiescing to all the unions' pay demands would cost the taxpayer around £28bn.

Read the full story: https://t.co/zSOX2WiSPy https://t.co/8WEqMETQLu",0.08333333333333333
99,"""There hasn't been any direct hits or serious accusations that we haven't heard before.""

The Viscountess Hinchingbrooke Sky News that the first episodes of the Harry &amp; Meghan documentary series have 'created empathy' for the couple.

https://t.co/PAiZ4D1jU3

📺 Sky 501 https://t.co/XIj8HCN9k0",0.004166666666666673
