,Tweet Text,Likes,Time
51,JP Morgan in talks about swoop on stock trading app Freetrade https://t.co/sHfZWLtYQU,21,2022-12-01 11:39:34+00:00
52,Jeffrey Epstein's estate has agreed to pay the US Virgin Islands more than $105m (£86.8m) as part of a settlement in a sex trafficking and child exploitation case https://t.co/lCfng6y6Sn,44,2022-12-01 11:21:55+00:00
53,Squid Game actor O Yeong-su to stand trial on indecent assault charges in South Korea https://t.co/MULSNUDmHx,39,2022-12-01 11:16:14+00:00
54,"Have a question about climate change? Need something explained about the environment?

@tomheapmedia will be answering your questions during our weekend Climate Show. 

Submit your climate questions by Friday and hear the answers from 3.30pm on Saturday 👇",16,2022-12-01 11:10:00+00:00
55,The move is part of plans aimed at easing demand on health services as they head into what is expected to be a difficult winter https://t.co/4iHD0TJBMB,28,2022-12-01 11:01:23+00:00
56,"This December, Sky News looks at how Britons are reacting to a different type of Christmas, with a few money-saving tips to help make life a little easier.

Day 1: From toys to perfumes, Jane is giving Christmas gifts she received for free - and you can too

Read more here 👇",16,2022-12-01 10:56:45+00:00
57,Number of patients in hospital with flu jumps 40% in a week as NHS top doctor says service hit by 'perfect storm' https://t.co/CHs1XSTAX2,39,2022-12-01 10:49:30+00:00
58,Only six of the 40 most popular songs in the Official Charts Company's list have a festive theme https://t.co/gg6rsvAPjM,29,2022-12-01 10:40:46+00:00
59,"""I could end up with a draw full of tat, or I could end up with a draw full of lovely little goodies I can distribute over Christmasl"" 

🎁 Woman sets challenge to give Christmas gifts that don't cost a penny -  here are her top tips 👇 https://t.co/97o7BK5qha",17,2022-12-01 10:32:42+00:00
60,Cost of living: Which supermarket is cheapest to buy your Christmas dinner? https://t.co/92PevX3oul,19,2022-12-01 10:31:28+00:00
61,"'There is time for the government to sit down with us and negotiate.'

Union leaders outline what they need for industrial action to be called off.

Read more: https://t.co/th530c52du

📺 Sky 501, Virgin 602, Freeview 233 and YouTube https://t.co/9NfHnp8QPF",33,2022-12-01 10:26:32+00:00
62,"""Things don't have to be like this, we need to see change.""

RMT's Eddie Dempsey says ""we have got to have a fairer society where people are looked after"".

Read more: https://t.co/th530c52du

📺 Sky 501, Virgin 602, Freeview 233 and YouTube https://t.co/6T4iZ9ENRb",38,2022-12-01 10:18:36+00:00
63,"""We've had 12 years of not being talked to, we need conversation now.""

National Education Union joint general secretary Dr Mary Bousted says public services 'are on their knees' in her message to the government.

Read more: https://t.co/th530c52du

📺 Sky 501 and YouTube https://t.co/RlmVo3ARTe",29,2022-12-01 10:15:18+00:00
64,"Three locations will have the equipment installed to begin with, allowing them to link up to the satellites and access broadband 10 times faster than previously available https://t.co/SP5hyYLByG",33,2022-12-01 10:12:32+00:00
65,"""It is a solvable problem, you just have to be willing to come to fair deals with us.""

Dr Emma Runswick, of the British Medical Association, explains how government 'is able to stop strike action' in the NHS.

Read more: https://t.co/th530c52du

📺 Sky 501 and YouTube https://t.co/h3tGnEbSfu",28,2022-12-01 10:09:03+00:00
66,"""This country, more than any point in our history, needs a new deal for working people.""

CWU general secretary Dave Ward outlines his message to the government, employers and the public.

Read more: https://t.co/th530c52du

📺 Sky 501, Virgin 602, Freeview 233 and YouTube https://t.co/Sel9f19dI3",39,2022-12-01 10:05:32+00:00
67,"'Are these strikes just to make sure the unions put Labour in power?'

""We're not affiliated to any party"" says National Education Union's Dr Mary Bousted - adding 'it's not a political point, it's about the state of the education service'.

https://t.co/WUnquWvHqf 

📺 Sky 501 https://t.co/a6StxSyI8w",35,2022-12-01 10:01:34+00:00
68,"Unions could plot coordinated strike action across NHS  for 'maximum impact', GMB boss says https://t.co/c4YiBnQZag",41,2022-12-01 09:59:26+00:00
69,"Are the strikes less about pay rises, but bringing down the Conservative government?

RMT's Eddie Dempsey says all their workers want are fair settlements on pay and working conditions.

Read more: https://t.co/th530c52du

📺 Sky 501, Virgin 602, Freeview 233 and YouTube https://t.co/rbVkgGyfDM",32,2022-12-01 09:56:02+00:00
70,"Nearly a million private renters in England are under threat of eviction due to record high rents and soaring living costs, a leading housing charity has found https://t.co/2goTkweN4P",34,2022-12-01 09:52:29+00:00
71,"""What Royal Mail are doing will destroy the service that you like, and that you want, forever."" 

CWU's Dave Ward answers a question from a small business owner who says they're suffering because they rely on Royal Mail to deliver online sales.

https://t.co/WUnquWvHqf

📺Sky 501 https://t.co/ZyHezh7NI9",41,2022-12-01 09:50:09+00:00
72,"""We want there to be an impact on employers and government.""

Dr Emma Runswick of the British Medical Association says an effective coordinated strike will help to speed up negotiations.

Read more: https://t.co/th530c52du

📺 Sky 501, Virgin 602, Freeview 233 and YouTube https://t.co/3X3A8YqdUq",28,2022-12-01 09:39:40+00:00
73,"""This idea that there's going to be a wage price spiral is nonsense"" says RMT's Eddie Dempsey - adding the govt's real worry is ""a shift in class power"" and working people having the ability to ""bargain for better wages"".

https://t.co/WUnquWvHqf

📺 Sky 501 and Youtube https://t.co/T4i8zJcjFj",71,2022-12-01 09:35:05+00:00
74,"The leader of the Islamic State has been killed in battle, the group has announced https://t.co/hwbyEnixel",156,2022-12-01 09:32:21+00:00
75,At least two dead and dozens missing after landslide engulfs motorway in Brazil https://t.co/6LPyaNkJjL,60,2022-12-01 09:31:24+00:00
76,"Brexit added £210 to household food bills, new research finds https://t.co/Y8aWtA8Kz2",1008,2022-12-01 09:29:24+00:00
77,".@KayBurley takes a look at who is going on strike and when, as the UK faces a wave of industrial action in the coming weeks.

Read more: https://t.co/th530c52du

📺 Sky 501, Virgin 602, Freeview 233 and YouTube https://t.co/GEwbD6QNvb",20,2022-12-01 09:26:27+00:00
