,Tweet Text,Likes,Time
68,"'AUTOCRATIC AND DICTATORIAL': @TulsiGabbard tells ""The Ingraham Angle"" that the Left despises Elon Musk's Twitter takeover because they can no longer use the platform as their ""propaganda arm."" https://t.co/9QoPJmEwch",856,2022-12-01 07:30:06+00:00
69,"CHINA'S 'USING THAT DATA': South Dakota Gov. @KristiNoem tells ""Hannity"" why TikTok is a danger to U.S. security and should be examined. https://t.co/DT4yUUrpGN",402,2022-12-01 07:25:07+00:00
70,.@seanhannity: Twitter's war on free expression is now officially over https://t.co/3hAicPTexl,224,2022-12-01 07:20:05+00:00
71,OPINION: More voters picked Republicans than Democrats in November. Can GOP restore sanity to Congress? https://t.co/VFRCoqhTPX,177,2022-12-01 07:15:05+00:00
72,Friend of Iran midfielder killed by 'security forces' for celebrating World Cup loss to US: report https://t.co/hAZvxpybno,186,2022-12-01 07:10:06+00:00
73,University of Idaho murder victim's father says his daughter died ‘in the same bed’ as her best friend https://t.co/KgvMtdKJ2c,90,2022-12-01 07:05:05+00:00
74,Mena Suvari says she struggles with postpartum depression 'every day' more than a year after giving birth https://t.co/fMLAsCckGo,37,2022-12-01 07:00:18+00:00
75,"Prince William, Kate Middleton watch courtside as Boston Celtics take on the Miami Heat during their US trip https://t.co/KkWmwrtNGL",122,2022-12-01 06:55:01+00:00
76,REJECTED: Biden's student loan handout suffers another major legal blow https://t.co/bCpmcgLVy6,844,2022-12-01 06:51:58+00:00
77,Taylor Lorenz warns new Twitter COVID policy will cause ‘more deaths’ https://t.co/5wIkj663DH,283,2022-12-01 06:50:04+00:00
78,Kyler Murray fires back at Patrick Peterson's criticism: 'You on some weird s---' https://t.co/Ig9RlAak3G,36,2022-12-01 06:45:03+00:00
79,Atlanta police seek public's help identifying shooting suspects https://t.co/Fu73rahfDL,52,2022-12-01 06:40:06+00:00
80,"LA County DA takes keen interest in John Legend car theft case, prosecutor calls it insult to crime victims https://t.co/nMXRlVRJRQ",94,2022-12-01 06:35:02+00:00
81,"OPINION: @TuckerCarlson: Zelenskyy, Yellen and Bankman-Fried could use federal investigations, but are celebrated https://t.co/u9qhuTBQpV",284,2022-12-01 06:30:06+00:00
82,Fight between Jets and Avalanche fans turns bloody https://t.co/JkTrasSj6R,52,2022-12-01 06:25:06+00:00
83,"ME, MYSELF &amp; I: The commander-in-chief claims no other president has done as much as his administration. https://t.co/dZ0p4sfyv9 https://t.co/gvRs7Nii3b",3097,2022-12-01 06:20:09+00:00
84,JESSE WATTERS: Mom who allegedly drove car through BLM protesters to escape knows deep down she is not guilty https://t.co/nClml94ffB,264,2022-12-01 06:15:05+00:00
85,Waukesha Christmas parade killer Darrell Brooks files notice to appeal his conviction https://t.co/UmzISXHNaj,54,2022-12-01 06:10:05+00:00
86,Users celebrate Elon Musk revealing Twitter 'interfered in elections:' ‘New Twitter rocks’ https://t.co/YZiMSFyxVW,2252,2022-12-01 06:05:04+00:00
87,"Yankees legend, former Manager of the Year, named Blue Jays’ bench coach https://t.co/0CjgbuLxMk",38,2022-12-01 06:00:06+00:00
88,Vikings' Patrick Peterson rips into Kyler Murray after Cardinals' latest loss https://t.co/r2SANrlLcH,37,2022-12-01 05:55:06+00:00
89,Anne Heche estate appoints son Homer Laffoon as general administrator after months-long court battle https://t.co/O166Gqh6ch,45,2022-12-01 05:50:06+00:00
90,"Las Vegas Strip suspect drives on sidewalk, arrested after 'barricade situation,' police say https://t.co/crFTbb02CP",53,2022-12-01 05:45:05+00:00
91,Biden appears to declare himself the greatest president in US history https://t.co/D2M9plVqrU,394,2022-12-01 05:40:05+00:00
92,"Texas good Samaritan fatally stabbed by felon free on bond, police say https://t.co/ZlKLOQLseJ",103,2022-12-01 05:35:04+00:00
93,Hall of Famer Terrell Owens claims self-defense in incident outside CVS store https://t.co/l9g5k9yQmH,42,2022-12-01 05:30:04+00:00
94,Rams' Aaron Donald to miss first game due to injury in his career https://t.co/yieAv2yjjH,48,2022-12-01 05:25:08+00:00
95,Colorado election officials order recount after Rep. Boebert projected to defeat Dem challenger Adam Frisch https://t.co/7rErLFrTQB,653,2022-12-01 05:20:04+00:00
96,"Extinction activist wants humans to voluntarily die out: ‘Feed ‘em, don’t breed ‘em’ https://t.co/vNgvlqp0Zj",138,2022-12-01 05:15:06+00:00
97,"Mickey Joseph, Nebraska's interim coach before Matt Rhule hire, arrested in domestic case https://t.co/W1f675Vwfs",65,2022-12-01 05:10:06+00:00
98,"New DHS Disinfo Board documents reveal deep Big Tech collusion, contradict Mayorkas testimony: Sen. Hawley https://t.co/gOzj4z158Y",322,2022-12-01 05:05:03+00:00
99,"Fleetwood Mac’s Christine McVie mourned by Stevie Nicks, Mick Fleetwood: ‘See you on the other side, my love’ https://t.co/qiyxYj02tO",221,2022-12-01 05:00:08+00:00
